test_id,person_image,garment_image,category,variant,expected_behavior,success,failure_type,failure_reason,input_width,input_height,output_width,output_height,output_available,mask_coverage,alignment_indicator,pose_quality,mask_quality,garment_quality,person_processing_time,garment_processing_time,inference_time,total_processing_time,model_version,result_path,visual_quality_score,alignment_score,garment_preservation_score,artifact_score
test_001,darkbackground.jpg,garment.jpg,shirt/top,original,Try-on should complete successfully.,True,,,437,702,437,702,True,0.2382,0.9997,0.9877,0.7354,1.0,0.7233,1.0257,0.6094,2.3896,tryon-v1-baseline,evaluation\generated\test_001.png,,,,
test_002,darkbackground.jpg,garment.jpg,shirt/top,low_resolution,Quality gate should validate or reject depending on pose/image quality.,True,,,437,702,437,702,True,0.2451,0.9996,0.9812,0.7671,1.0,0.6448,0.84,0.6378,2.1663,tryon-v1-baseline,evaluation\generated\test_002.png,,,,
test_003,darkbackground.jpg,garment.jpg,shirt/top,dark,Pipeline should remain stable under reduced lighting.,True,,,437,702,437,702,True,0.2379,0.9997,0.9874,0.7345,1.0,0.6205,0.8949,0.6759,2.2307,tryon-v1-baseline,evaluation\generated\test_003.png,,,,
test_004,darkbackground.jpg,garment.jpg,shirt/top,bright,Pipeline should remain stable under increased brightness.,True,,,437,702,437,702,True,0.2391,0.9996,0.987,0.739,1.0,0.6322,0.8861,0.6402,2.1942,tryon-v1-baseline,evaluation\generated\test_004.png,,,,
test_005,darkbackground.jpg,tshirt.jpg,t-shirt,original,Try-on should complete successfully.,True,,,437,702,437,702,True,0.2382,0.9997,0.9877,0.7354,1.0,0.6858,0.7749,0.579,2.0634,tryon-v1-baseline,evaluation\generated\test_005.png,,,,
test_006,darkbackground.jpg,tshirt.jpg,t-shirt,low_resolution,Quality gate should validate or reject depending on pose/image quality.,True,,,437,702,437,702,True,0.2451,0.9996,0.9812,0.7671,1.0,0.6972,0.7263,0.5837,2.0313,tryon-v1-baseline,evaluation\generated\test_006.png,,,,
test_007,darkbackground.jpg,tshirt.jpg,t-shirt,dark,Pipeline should remain stable under reduced lighting.,True,,,437,702,437,702,True,0.2379,0.9997,0.9874,0.7345,1.0,0.6352,0.6951,0.5788,1.9509,tryon-v1-baseline,evaluation\generated\test_007.png,,,,
test_008,darkbackground.jpg,tshirt.jpg,t-shirt,bright,Pipeline should remain stable under increased brightness.,True,,,437,702,437,702,True,0.2391,0.9996,0.987,0.739,1.0,0.6033,0.7268,0.7428,2.1005,tryon-v1-baseline,evaluation\generated\test_008.png,,,,
test_009,person.jpg,garment.jpg,shirt/top,original,Try-on should complete successfully.,True,,,560,900,560,900,True,0.2312,0.9999,0.9971,0.719,1.0,0.8127,0.9875,0.6505,2.5013,tryon-v1-baseline,evaluation\generated\test_009.png,,,,
test_010,person.jpg,garment.jpg,shirt/top,low_resolution,Quality gate should validate or reject depending on pose/image quality.,True,,,560,900,560,900,True,0.2348,0.9999,0.9967,0.7431,1.0,0.7777,1.1146,0.8519,2.8007,tryon-v1-baseline,evaluation\generated\test_010.png,,,,
