test_id,person_image,garment_image,category,variant,expected_behavior,success,failure_type,failure_reason,input_width,input_height,output_width,output_height,output_available,mask_coverage,alignment_indicator,pose_quality,mask_quality,garment_quality,person_processing_time,garment_processing_time,inference_time,total_processing_time,model_version,result_path,visual_quality_score,alignment_score,garment_preservation_score,artifact_score
test_001,darkbackground.jpg,garment.jpg,shirt/top,original,Try-on should complete successfully.,True,,,437,702,437,702,True,0.2382,0.9997,0.9877,0.7354,1.0,0.6787,0.9188,0.6018,2.2497,tryon-v1-baseline,evaluation\generated\test_001.png,,,,
test_002,darkbackground.jpg,garment.jpg,shirt/top,low_resolution,Quality gate should validate or reject depending on pose/image quality.,True,,,437,702,437,702,True,0.2451,0.9996,0.9812,0.7671,1.0,0.6321,0.944,0.6428,2.2689,tryon-v1-baseline,evaluation\generated\test_002.png,,,,
test_003,darkbackground.jpg,garment.jpg,shirt/top,dark,Pipeline should remain stable under reduced lighting.,True,,,437,702,437,702,True,0.2379,0.9997,0.9874,0.7345,1.0,0.6764,0.8509,0.6133,2.1873,tryon-v1-baseline,evaluation\generated\test_003.png,,,,
test_004,darkbackground.jpg,garment.jpg,shirt/top,bright,Pipeline should remain stable under increased brightness.,True,,,437,702,437,702,True,0.2391,0.9996,0.987,0.739,1.0,0.5931,0.9331,1.1755,2.7598,tryon-v1-baseline,evaluation\generated\test_004.png,,,,
test_005,darkbackground.jpg,tshirt.jpg,t-shirt,original,Try-on should complete successfully.,True,,,437,702,437,702,True,0.2382,0.9997,0.9877,0.7354,1.0,1.4209,1.4908,1.3886,4.3539,tryon-v1-baseline,evaluation\generated\test_005.png,,,,
test_006,darkbackground.jpg,tshirt.jpg,t-shirt,low_resolution,Quality gate should validate or reject depending on pose/image quality.,True,,,437,702,437,702,True,0.2451,0.9996,0.9812,0.7671,1.0,1.354,1.4728,1.1972,4.083,tryon-v1-baseline,evaluation\generated\test_006.png,,,,
test_007,darkbackground.jpg,tshirt.jpg,t-shirt,dark,Pipeline should remain stable under reduced lighting.,True,,,437,702,437,702,True,0.2379,0.9997,0.9874,0.7345,1.0,1.4788,1.4648,1.2829,4.2783,tryon-v1-baseline,evaluation\generated\test_007.png,,,,
test_008,darkbackground.jpg,tshirt.jpg,t-shirt,bright,Pipeline should remain stable under increased brightness.,True,,,437,702,437,702,True,0.2391,0.9996,0.987,0.739,1.0,1.3505,1.4486,1.3193,4.1874,tryon-v1-baseline,evaluation\generated\test_008.png,,,,
test_009,person.jpg,garment.jpg,shirt/top,original,Try-on should complete successfully.,True,,,560,900,560,900,True,0.2312,0.9999,0.9971,0.719,1.0,1.3973,1.7867,1.2599,4.553,tryon-v1-baseline,evaluation\generated\test_009.png,,,,
test_010,person.jpg,garment.jpg,shirt/top,low_resolution,Quality gate should validate or reject depending on pose/image quality.,True,,,560,900,560,900,True,0.2348,0.9999,0.9967,0.7431,1.0,1.6101,2.3336,1.2781,5.3328,tryon-v1-baseline,evaluation\generated\test_010.png,,,,
test_011,person.jpg,garment.jpg,shirt/top,dark,Pipeline should remain stable under reduced lighting.,True,,,560,900,560,900,True,0.2316,1.0,0.9966,0.7202,1.0,1.7147,1.8687,2.597,6.3193,tryon-v1-baseline,evaluation\generated\test_011.png,,,,
test_012,person.jpg,garment.jpg,shirt/top,bright,Pipeline should remain stable under increased brightness.,True,,,560,900,560,900,True,0.2255,1.0,0.9957,0.7031,1.0,2.2473,2.3407,1.2763,6.1416,tryon-v1-baseline,evaluation\generated\test_012.png,,,,
test_013,person.jpg,tshirt.jpg,t-shirt,original,Try-on should complete successfully.,True,,,560,900,560,900,True,0.2312,0.9999,0.9971,0.719,1.0,1.4958,1.4266,1.189,4.2196,tryon-v1-baseline,evaluation\generated\test_013.png,,,,
test_014,person.jpg,tshirt.jpg,t-shirt,low_resolution,Quality gate should validate or reject depending on pose/image quality.,True,,,560,900,560,900,True,0.2348,0.9999,0.9967,0.7431,1.0,1.5361,1.4664,1.2022,4.2942,tryon-v1-baseline,evaluation\generated\test_014.png,,,,
test_015,person.jpg,tshirt.jpg,t-shirt,dark,Pipeline should remain stable under reduced lighting.,True,,,560,900,560,900,True,0.2316,1.0,0.9966,0.7202,1.0,1.4047,1.4252,1.2258,4.1261,tryon-v1-baseline,evaluation\generated\test_015.png,,,,
test_016,person.jpg,tshirt.jpg,t-shirt,bright,Pipeline should remain stable under increased brightness.,True,,,560,900,560,900,True,0.2255,1.0,0.9957,0.7031,1.0,1.4168,1.4158,1.1716,4.0788,tryon-v1-baseline,evaluation\generated\test_016.png,,,,
test_017,person2.jpg,garment.jpg,shirt/top,original,Try-on should complete successfully.,False,PARTIAL_BODY,Please upload a full-body image with the complete body inside the frame.,2280,1410,0,0,False,0.0,0.0,0.8866,0.4968,0.0,2.4353,1.8655,0.0,4.4841,tryon-v1-baseline,,,,,
test_018,person2.jpg,garment.jpg,shirt/top,low_resolution,Quality gate should validate or reject depending on pose/image quality.,False,PARTIAL_BODY,Please upload a full-body image with the complete body inside the frame.,2280,1410,0,0,False,0.0,0.0,0.8513,0.4807,0.0,2.4331,1.6926,0.0,4.311,tryon-v1-baseline,,,,,
test_019,person2.jpg,garment.jpg,shirt/top,dark,Pipeline should remain stable under reduced lighting.,False,PARTIAL_BODY,Please upload a full-body image with the complete body inside the frame.,2280,1410,0,0,False,0.0,0.0,0.8406,0.5006,0.0,2.4166,1.6828,0.0,4.2788,tryon-v1-baseline,,,,,
test_020,person2.jpg,garment.jpg,shirt/top,bright,Pipeline should remain stable under increased brightness.,False,PARTIAL_BODY,Please upload a full-body image with the complete body inside the frame.,2280,1410,0,0,False,0.0,0.0,0.8809,0.4793,0.0,2.3784,1.7024,0.0,4.2539,tryon-v1-baseline,,,,,
test_021,person2.jpg,tshirt.jpg,t-shirt,original,Try-on should complete successfully.,False,PARTIAL_BODY,Please upload a full-body image with the complete body inside the frame.,2280,1410,0,0,False,0.0,0.0,0.8866,0.4968,0.0,2.3838,1.4119,0.0,3.9231,tryon-v1-baseline,,,,,
test_022,person2.jpg,tshirt.jpg,t-shirt,low_resolution,Quality gate should validate or reject depending on pose/image quality.,False,PARTIAL_BODY,Please upload a full-body image with the complete body inside the frame.,2280,1410,0,0,False,0.0,0.0,0.8513,0.4807,0.0,2.4441,1.4117,0.0,4.0099,tryon-v1-baseline,,,,,
test_023,person2.jpg,tshirt.jpg,t-shirt,dark,Pipeline should remain stable under reduced lighting.,False,PARTIAL_BODY,Please upload a full-body image with the complete body inside the frame.,2280,1410,0,0,False,0.0,0.0,0.8406,0.5006,0.0,2.5396,1.4071,0.0,4.093,tryon-v1-baseline,,,,,
test_024,person2.jpg,tshirt.jpg,t-shirt,bright,Pipeline should remain stable under increased brightness.,False,PARTIAL_BODY,Please upload a full-body image with the complete body inside the frame.,2280,1410,0,0,False,0.0,0.0,0.8809,0.4793,0.0,2.4025,1.4274,0.0,3.9783,tryon-v1-baseline,,,,,
